Data; Radiação global
2026/04/07; 
2026/04/07; 
2026/04/07; 
2026/04/07; 
2026/04/07; 
2026/04/07; 
2026/04/07; 
2026/04/07; 
2026/04/07; 
2026/04/07; 
2026/04/07; 95,1
2026/04/07; 688,5
2026/04/07; 1577,5
2026/04/07; 2142,5
2026/04/07; 3021,7
2026/04/07; 2725,3
2026/04/07; 2947,3
2026/04/07; 3332,8
2026/04/07; 2234,2
2026/04/07; 353,5
2026/04/07; 303,3
2026/04/07; 119,9
2026/04/07; 
2026/04/07; 
2026/04/08; 
2026/04/08; 
2026/04/08; 
2026/04/08; 
2026/04/08; 
2026/04/08; 
2026/04/08; 
2026/04/08; 
2026/04/08; 
2026/04/08; 
2026/04/08; 63,9
2026/04/08; 805,4
2026/04/08; 1696,7
2026/04/08; 2452,6
2026/04/08; 2805,7
2026/04/08; 3657,1
2026/04/08; 3057,6
2026/04/08; 1604,6
2026/04/08; 700
2026/04/08; 128,4
2026/04/08; 198,9
2026/04/08; 66,6
2026/04/08; 
2026/04/08; 
2026/04/09; 
2026/04/09; 
2026/04/09; 
2026/04/09; 
2026/04/09; 
2026/04/09; 
2026/04/09; 
2026/04/09; 
2026/04/09; 
2026/04/09; 
2026/04/09; 42,2
2026/04/09; 544
2026/04/09; 1282,8
2026/04/09; 2490,9
2026/04/09; 2500,2
2026/04/09; 2291,3
2026/04/09; 3538,5
2026/04/09; 708,1
2026/04/09; 1072,4
2026/04/09; 2296,3
2026/04/09; 968
2026/04/09; 52,9
2026/04/09; 
2026/04/09; 
2026/04/10; 
2026/04/10; 
2026/04/10; 
2026/04/10; 
2026/04/10; 
2026/04/10; 
2026/04/10; 
2026/04/10; 
2026/04/10; 
2026/04/10; 
2026/04/10; 61,4
2026/04/10; 790,5
2026/04/10; 1621
2026/04/10; 1815,1
2026/04/10; 2514,3
2026/04/10; 2582,3
2026/04/10; 2804,3
2026/04/10; 1685,4
2026/04/10; 2305,2
2026/04/10; 1416,6
2026/04/10; 604,4
2026/04/10; 91,7
2026/04/10; 
2026/04/10; 
2026/04/11; 
2026/04/11; 
2026/04/11; 
2026/04/11; 
2026/04/11; 
2026/04/11; 
2026/04/11; 
2026/04/11; 
2026/04/11; 
2026/04/11; 
2026/04/11; 63
2026/04/11; 688,9
2026/04/11; 1080,4
2026/04/11; 1367,7
2026/04/11; 2225,6
2026/04/11; 3338,1
2026/04/11; 3442,2
2026/04/11; 2436,4
2026/04/11; 2651,1
2026/04/11; 1642,4
2026/04/11; 1154,2
2026/04/11; 210,1
2026/04/11; 
2026/04/11; 
2026/04/12; 
2026/04/12; 
2026/04/12; 
2026/04/12; 
2026/04/12; 
2026/04/12; 
2026/04/12; 
2026/04/12; 
2026/04/12; 
